Date,Event
2020-10-31,All Grades
2020-11-01,All Grades
2020-11-02,All Grades
2020-11-03,All Grades
2020-11-04,All Grades
2020-11-05,All Grades
2020-11-06,All Grades
2020-11-07,All Grades
2020-11-08,All Grades
2020-11-09,All Grades
2020-11-10,All Grades
2020-11-11,All Grades
2020-11-12,All Grades
2020-11-13,All Grades
2020-11-14,All Grades
2020-11-15,All Grades
2020-11-16,All Grades
2020-11-17,All Grades
2020-11-18,All Grades
2020-11-19,Shutdown
2020-11-20,Shutdown
2020-11-21,Shutdown
2020-11-22,Shutdown
2020-11-23,Shutdown
2020-11-24,Shutdown
2020-11-25,Shutdown
2020-11-26,Shutdown
2020-11-27,Shutdown
2020-11-28,Shutdown
2020-11-29,Grade Schools Reopen
2020-11-30,Grade Schools Reopen
2020-12-01,Grade Schools Reopen
2020-12-02,Grade Schools Reopen
2020-12-03,Grade Schools Reopen
2020-12-04,Grade Schools Reopen
2020-12-05,Grade Schools Reopen
2020-12-06,Grade Schools Reopen
2020-12-07,Grade Schools Reopen
2020-12-08,Grade Schools Reopen
2020-12-09,Grade Schools Reopen
2020-12-10,Grade Schools Reopen
2020-12-11,Grade Schools Reopen
2020-12-12,Grade Schools Reopen
2020-12-13,Grade Schools Reopen
2020-12-14,Grade Schools Reopen
2020-12-15,Grade Schools Reopen
2020-12-16,Grade Schools Reopen
2020-12-17,Grade Schools Reopen
2020-12-18,Grade Schools Reopen
2020-12-19,Grade Schools Reopen
2020-12-20,Grade Schools Reopen
2020-12-21,Grade Schools Reopen
2020-12-22,Grade Schools Reopen
2020-12-23,Grade Schools Reopen
2020-12-24,Grade Schools Reopen
2020-12-25,Grade Schools Reopen
2020-12-26,Grade Schools Reopen
2020-12-27,Grade Schools Reopen
2020-12-28,Grade Schools Reopen
2020-12-29,Grade Schools Reopen
2020-12-30,Grade Schools Reopen
2020-12-31,Grade Schools Reopen
2021-01-01,Grade Schools Reopen
2021-01-02,Grade Schools Reopen
2021-01-03,Grade Schools Reopen
2021-01-04,Grade Schools Reopen
2021-01-05,Grade Schools Reopen
2021-01-06,Grade Schools Reopen
2021-01-07,Grade Schools Reopen
2021-01-08,Grade Schools Reopen
2021-01-09,Grade Schools Reopen
2021-01-10,Grade Schools Reopen
2021-01-11,Grade Schools Reopen
2021-01-12,Grade Schools Reopen
2021-01-13,Grade Schools Reopen
2021-01-14,Grade Schools Reopen
2021-01-15,Grade Schools Reopen
2021-01-16,Grade Schools Reopen
2021-01-17,Grade Schools Reopen
2021-01-18,Grade Schools Reopen
2021-01-19,Grade Schools Reopen
2021-01-20,Grade Schools Reopen
2021-01-21,Grade Schools Reopen
2021-01-22,Grade Schools Reopen
2021-01-23,Grade Schools Reopen
2021-01-24,Grade Schools Reopen
2021-01-25,Grade Schools Reopen
2021-01-26,Grade Schools Reopen
2021-01-27,Grade Schools Reopen
2021-01-28,Grade Schools Reopen
2021-01-29,Grade Schools Reopen
2021-01-30,Grade Schools Reopen
2021-01-31,Grade Schools Reopen
2021-02-01,Grade Schools Reopen
2021-02-02,Grade Schools Reopen
2021-02-03,Grade Schools Reopen
2021-02-04,Grade Schools Reopen
2021-02-05,Grade Schools Reopen
2021-02-06,Grade Schools Reopen
2021-02-07,Grade Schools Reopen
2021-02-08,Grade Schools Reopen
2021-02-09,Grade Schools Reopen
2021-02-10,Grade Schools Reopen
2021-02-11,Grade Schools Reopen
2021-02-12,Grade Schools Reopen
2021-02-13,Grade Schools Reopen
2021-02-14,Grade Schools Reopen
2021-02-15,Grade Schools Reopen
2021-02-16,Grade Schools Reopen
2021-02-17,Grade Schools Reopen
2021-02-18,Grade Schools Reopen
2021-02-19,Grade Schools Reopen
2021-02-20,Grade Schools Reopen
2021-02-21,Grade Schools Reopen
2021-02-22,Grade Schools Reopen
2021-02-23,Grade Schools Reopen
2021-02-24,Grade Schools Reopen
2021-02-25,Middle Schools Reopen
2021-02-26,Middle Schools Reopen
2021-02-27,Middle Schools Reopen
2021-02-28,Middle Schools Reopen
2021-03-01,Middle Schools Reopen
2021-03-02,Middle Schools Reopen
2021-03-03,Middle Schools Reopen
2021-03-04,Middle Schools Reopen
2021-03-05,Middle Schools Reopen
2021-03-06,Middle Schools Reopen
2021-03-07,Middle Schools Reopen
2021-03-08,Middle Schools Reopen
2021-03-09,Middle Schools Reopen
2021-03-10,Middle Schools Reopen
2021-03-11,Middle Schools Reopen
2021-03-12,Middle Schools Reopen
2021-03-13,Middle Schools Reopen
2021-03-14,Middle Schools Reopen
2021-03-15,Middle Schools Reopen
2021-03-16,Middle Schools Reopen
2021-03-17,Middle Schools Reopen
2021-03-18,Middle Schools Reopen
2021-03-19,Middle Schools Reopen
2021-03-20,Middle Schools Reopen
2021-03-21,Middle Schools Reopen
2021-03-22,High_Schools_Reopen
2021-03-23,High_Schools_Reopen
2021-03-24,High_Schools_Reopen
2021-03-25,High_Schools_Reopen
2021-03-26,High_Schools_Reopen
