Sample_Date,WRRF_Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School-Aged Population,Season,Holiday
2021-11-28,Port Richmond,8362.0,3218886.5,226167,46435.0,Fall 2021,1
2021-11-28,Red Hook,5458.0,2121252.52,224029,33636.0,Fall 2021,1
2021-11-28,Rockaway,1388.0,740801.15,120539,29986.0,Fall 2021,1
2021-11-28,Tallman Island,6448.0,2712471.39,449907,74748.0,Fall 2021,1
2021-11-28,Wards Island,8387.0,4597926.6,1201485,240219.0,Fall 2021,1
2021-11-30,26th Ward,19620.0,12523004.8,290608,72091.0,Fall 2021,1
2021-11-30,Bowery Bay,15890.0,5529196.59,924695,122994.0,Fall 2021,1
2021-11-30,Coney Island,7320.0,3045804.73,682342,117865.0,Fall 2021,1
2021-11-30,Hunts Point,11015.0,5736309.79,755948,151282.0,Fall 2021,1
2021-11-30,Jamaica Bay,12158.0,4610151.92,748737,131881.0,Fall 2021,1
2021-11-30,Newtown Creek,10695.0,6021248.58,1156473,188137.0,Fall 2021,1
2021-11-30,North River,7017.0,3750676.59,658596,72242.0,Fall 2021,1
2021-11-30,Oakwood Beach,6583.0,2446204.39,258731,44374.0,Fall 2021,1
2021-11-30,Owls Head,12257.0,4350817.24,906442,135396.0,Fall 2021,1
2021-11-30,Port Richmond,9179.0,3533661.25,226167,46435.0,Fall 2021,1
2021-11-30,Red Hook,10050.0,4075422.88,224029,33636.0,Fall 2021,1
2021-11-30,Rockaway,2590.0,1382747.26,120539,29986.0,Fall 2021,1
2021-11-30,Tallman Island,15121.0,6234130.87,449907,74748.0,Fall 2021,1
2021-11-30,Wards Island,9514.0,4975737.58,1201485,240219.0,Fall 2021,1
2021-12-05,26th Ward,4001.0,3074740.76,290608,72091.0,Fall 2021,1
2021-12-05,Bowery Bay,24202.0,11393554.6,924695,122994.0,Fall 2021,1
2021-12-05,Coney Island,12664.0,6322843.89,682342,117865.0,Fall 2021,1
2021-12-05,Hunts Point,17888.0,10300848.17,755948,151282.0,Fall 2021,1
2021-12-05,Jamaica Bay,17514.0,7349234.94,748737,131881.0,Fall 2021,1
2021-12-05,Newtown Creek,7627.0,5242366.33,1156473,188137.0,Fall 2021,1
2021-12-05,North River,8674.0,4935414.48,658596,72242.0,Fall 2021,1
2021-12-05,Oakwood Beach,14822.0,5746669.72,258731,44374.0,Fall 2021,1
2021-12-05,Owls Head,13277.0,6542470.97,906442,135396.0,Fall 2021,1
2021-12-05,Port Richmond,11639.0,4869927.28,226167,46435.0,Fall 2021,1
2021-12-05,Red Hook,2924.0,1580834.52,224029,33636.0,Fall 2021,1
2021-12-05,Rockaway,3999.0,2762745.43,120539,29986.0,Fall 2021,1
2021-12-05,Tallman Island,8416.0,4319510.58,449907,74748.0,Fall 2021,1
2021-12-05,Wards Island,5445.0,3242571.69,1201485,240219.0,Fall 2021,1
2021-12-07,26th Ward,5797.0,3549262.68,290608,72091.0,Fall 2021,0
2021-12-07,Bowery Bay,9653.0,3319273.51,924695,122994.0,Fall 2021,0
2021-12-07,Coney Island,9042.0,3611524.17,682342,117865.0,Fall 2021,0
2021-12-07,Hunts Point,5253.0,2735808.42,755948,151282.0,Fall 2021,0
2021-12-07,Jamaica Bay,9193.0,3439402.77,748737,131881.0,Fall 2021,0
