Test Date,WRRF Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School Status,School-Aged Population,Season,Holiday
2020-09-14,Jamaica Bay,470.0,178159.38,748737,Summer Break_1,131881.0,Summer 2020,0
2020-09-14,Newtown Creek,,,1156473,Summer Break_1,188137.0,Summer 2020,0
2020-09-14,North River,,,658596,Summer Break_1,72242.0,Summer 2020,0
2020-09-14,Oakwood Beach,227.0,86502.52,258731,Summer Break_1,44374.0,Summer 2020,0
2020-09-14,Owls Head,,,906442,Summer Break_1,135396.0,Summer 2020,0
2020-09-14,Port Richmond,,,226167,Summer Break_1,46435.0,Summer 2020,0
2020-09-14,Red Hook,450.0,175028.67,224029,Summer Break_1,33636.0,Summer 2020,0
2020-09-14,Rockaway,226.0,155806.96,120539,Summer Break_1,29986.0,Summer 2020,0
2020-09-14,Tallman Island,,,449907,Summer Break_1,74748.0,Summer 2020,0
2020-09-14,Wards Island,394.0,229809.11,1201485,Summer Break_1,240219.0,Summer 2020,0
2020-09-16,26th Ward,524.0,307000.21,290608,Summer Break_1,72091.0,Summer 2020,0
2020-09-16,Bowery Bay,972.0,342045.42,924695,Summer Break_1,122994.0,Summer 2020,0
2020-09-16,Coney Island,1370.0,600528.29,682342,Summer Break_1,117865.0,Summer 2020,0
2020-09-16,Hunts Point,1050.0,609928.65,755948,Summer Break_1,151282.0,Summer 2020,0
2020-09-16,Jamaica Bay,497.0,185852.12,748737,Summer Break_1,131881.0,Summer 2020,0
2020-09-16,Newtown Creek,739.0,418405.52,1156473,Summer Break_1,188137.0,Summer 2020,0
2020-09-16,North River,248.0,132375.39,658596,Summer Break_1,72242.0,Summer 2020,0
2020-09-16,Oakwood Beach,286.0,106099.04,258731,Summer Break_1,44374.0,Summer 2020,0
2020-09-16,Owls Head,2693.0,978422.37,906442,Summer Break_1,135396.0,Summer 2020,0
2020-09-16,Port Richmond,247.0,95790.46,226167,Summer Break_1,46435.0,Summer 2020,0
2020-09-16,Red Hook,275.0,107058.65,224029,Summer Break_1,33636.0,Summer 2020,0
2020-09-16,Rockaway,,,120539,Summer Break_1,29986.0,Summer 2020,0
2020-09-16,Tallman Island,264.0,111188.74,449907,Summer Break_1,74748.0,Summer 2020,0
2020-09-16,Wards Island,316.0,182907.37,1201485,Summer Break_1,240219.0,Summer 2020,0
2020-09-21,26th Ward,432.0,264300.24,290608,Summer Break_1,72091.0,Summer 2020,0
2020-09-21,Bowery Bay,1425.0,536848.07,924695,Summer Break_1,122994.0,Summer 2020,0
2020-09-21,Coney Island,18543.0,8332566.57,682342,Summer Break_1,117865.0,Summer 2020,0
2020-09-21,Hunts Point,568.0,338284.96,755948,Summer Break_1,151282.0,Summer 2020,0
2020-09-21,Jamaica Bay,801.0,303807.68,748737,Summer Break_1,131881.0,Summer 2020,0
2020-09-21,Newtown Creek,834.0,442147.5,1156473,Summer Break_1,188137.0,Summer 2020,0
2020-09-21,North River,991.0,495392.42,658596,Summer Break_1,72242.0,Summer 2020,0
