5-9,10-14, 15-19,WRRF Name,Total Population,Total WRRF Population,Zip Codes Served,Zip_Codes_Served
9883.0,8960.0,7157.0,Owls Head,26000.0,135396.0,"11204, 11209, 11214, 11218, 11219, 11220, 11223, 11228, 11232","['11204', ' 11209', ' 11214', ' 11218', ' 11219', ' 11220', ' 11223', ' 11228', ' 11232']"
7334.0,6422.0,4993.0,Owls Head,18749.0,135396.0,"11204, 11209, 11214, 11218, 11219, 11220, 11223, 11228, 11232","['11204', ' 11209', ' 11214', ' 11218', ' 11219', ' 11220', ' 11223', ' 11228', ' 11232']"
4655.0,4832.0,4242.0,Newtown Creek,13729.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
1504.0,880.0,727.0,Newtown Creek,3111.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
6293.0,5009.0,5175.0,Owls Head,16477.0,135396.0,"11204, 11209, 11214, 11218, 11219, 11220, 11223, 11228, 11232","['11204', ' 11209', ' 11214', ' 11218', ' 11219', ' 11220', ' 11223', ' 11228', ' 11232']"
2515.0,2925.0,2752.0,Coney Island,8192.0,117865.0,"11210, 11224, 11226, 11229, 11230, 11234, 11235, 11236","['11210', ' 11224', ' 11226', ' 11229', ' 11230', ' 11234', ' 11235', ' 11236']"
2733.0,3248.0,2834.0,Newtown Creek,8815.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
5160.0,5254.0,5353.0,Coney Island,15767.0,117865.0,"11210, 11224, 11226, 11229, 11230, 11234, 11235, 11236","['11210', ' 11224', ' 11226', ' 11229', ' 11230', ' 11234', ' 11235', ' 11236']"
2264.0,2269.0,2343.0,Owls Head,6876.0,135396.0,"11204, 11209, 11214, 11218, 11219, 11220, 11223, 11228, 11232","['11204', ' 11209', ' 11214', ' 11218', ' 11219', ' 11220', ' 11223', ' 11228', ' 11232']"
5474.0,5996.0,4660.0,Coney Island,16130.0,117865.0,"11210, 11224, 11226, 11229, 11230, 11234, 11235, 11236","['11210', ' 11224', ' 11226', ' 11229', ' 11230', ' 11234', ' 11235', ' 11236']"
