Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Event
2020-09-08,09/09/2020,North River,NR,415.0,227348.08,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596,Summer Break_1
2020-09-08,09/09/2020,Oakwood Beach,OB,539.0,192925.7,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,258731,Summer Break_1
2020-09-08,09/09/2020,Owls Head,OH,862.0,317503.95,,906442,Summer Break_1
2020-09-08,09/09/2020,Port Richmond,PR,1059.0,386247.1,,226167,Summer Break_1
2020-09-08,09/09/2020,Red Hook,RH,478.0,185838.33,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,Summer Break_1
2020-09-08,09/09/2020,Rockaway,RK,270.0,161117.9,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,Summer Break_1
2020-09-08,09/09/2020,Tallman Island,TI,750.0,309032.77,,449907,Summer Break_1
2020-09-08,09/09/2020,Wards Island,WI,1065.0,623856.31,,1201485,Summer Break_1
2020-09-13,09/14/2020,26th Ward,26W,,,Possible analytical issue,290608,Summer Break_1
2020-09-13,09/14/2020,Bowery Bay,BB,1278.0,471008.06,,924695,Summer Break_1
2020-09-13,09/14/2020,Coney Island,CI,16954.0,8182822.51,This sample was analyzed in duplicate. The higher of the 2 results is reported,682342,Summer Break_1
2020-09-13,09/14/2020,Hunts Point,HP,492.0,297884.18,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,Summer Break_1
2020-09-13,09/14/2020,Jamaica Bay,JA,470.0,178159.38,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737,Summer Break_1
2020-09-13,09/14/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473,Summer Break_1
2020-09-13,09/14/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,Summer Break_1
2020-09-13,09/14/2020,Oakwood Beach,OB,227.0,86502.52,Concentration below Method Limit of Quantification (above Method Limit of Detection),258731,Summer Break_1
2020-09-13,09/14/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,906442,Summer Break_1
2020-09-13,09/14/2020,Port Richmond,PR,,,Concentration below Method Limit of Detection,226167,Summer Break_1
2020-09-13,09/14/2020,Red Hook,RH,450.0,175028.67,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,Summer Break_1
2020-09-13,09/14/2020,Rockaway,RK,226.0,155806.96,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,Summer Break_1
2020-09-13,09/14/2020,Tallman Island,TI,,,Possible analytical issue,449907,Summer Break_1
2020-09-13,09/14/2020,Wards Island,WI,394.0,229809.11,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485,Summer Break_1
2020-09-15,09/16/2020,26th Ward,26W,524.0,307000.21,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,Summer Break_1
2020-09-15,09/16/2020,Bowery Bay,BB,972.0,342045.42,,924695,Summer Break_1
2020-09-15,09/16/2020,Coney Island,CI,1370.0,600528.29,,682342,Summer Break_1
2020-09-15,09/16/2020,Hunts Point,HP,1050.0,609928.65,,755948,Summer Break_1
2020-09-15,09/16/2020,Jamaica Bay,JA,497.0,185852.12,Concentration below Method Limit of Quantification (above Method Limit of Detection),748737,Summer Break_1
2020-09-15,09/16/2020,Newtown Creek,NC,739.0,418405.52,,1156473,Summer Break_1
2020-09-15,09/16/2020,North River,NR,248.0,132375.39,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,658596,Summer Break_1
2020-09-15,09/16/2020,Oakwood Beach,OB,286.0,106099.04,Concentration below Method Limit of Quantification (above Method Limit of Detection),258731,Summer Break_1
2020-09-15,09/16/2020,Owls Head,OH,2693.0,978422.37,,906442,Summer Break_1
2020-09-15,09/16/2020,Port Richmond,PR,247.0,95790.46,Concentration below Method Limit of Quantification (above Method Limit of Detection),226167,Summer Break_1
2020-09-15,09/16/2020,Red Hook,RH,275.0,107058.65,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,Summer Break_1
2020-09-15,09/16/2020,Rockaway,RK,,,Analytical issue,120539,Summer Break_1
2020-09-15,09/16/2020,Tallman Island,TI,264.0,111188.74,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,Summer Break_1
2020-09-15,09/16/2020,Wards Island,WI,316.0,182907.37,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485,Summer Break_1
2020-09-20,09/21/2020,26th Ward,26W,432.0,264300.24,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,Summer Break_1
2020-09-20,09/21/2020,Bowery Bay,BB,1425.0,536848.07,,924695,Summer Break_1
2020-09-20,09/21/2020,Coney Island,CI,18543.0,8332566.57,,682342,Summer Break_1
2020-09-20,09/21/2020,Hunts Point,HP,568.0,338284.96,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,Summer Break_1
2020-09-20,09/21/2020,Jamaica Bay,JA,801.0,303807.68,,748737,Summer Break_1
2020-09-20,09/21/2020,Newtown Creek,NC,834.0,442147.5,,1156473,Summer Break_1
2020-09-20,09/21/2020,North River,NR,991.0,495392.42,,658596,Summer Break_1
2020-09-20,09/21/2020,Oakwood Beach,OB,644.0,224143.65,,258731,Summer Break_1
