Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Event
2020-10-25,10/26/2020,Rockaway,RK,1272.0,758936.16,,120539,All Grades
2020-10-25,10/26/2020,Tallman Island,TI,1797.0,755797.1,,449907,All Grades
2020-10-25,10/26/2020,Wards Island,WI,2014.0,1059879.97,,1201485,All Grades
2020-10-27,10/28/2020,26th Ward,26W,1927.0,1104489.82,,290608,All Grades
2020-10-27,10/28/2020,Bowery Bay,BB,3913.0,1329526.71,,924695,All Grades
2020-10-27,10/28/2020,Coney Island,CI,2216.0,872894.95,,682342,All Grades
2020-10-27,10/28/2020,Hunts Point,HP,6656.0,4265992.05,,755948,All Grades
2020-10-27,10/28/2020,Jamaica Bay,JA,2605.0,974694.55,,748737,All Grades
2020-10-27,10/28/2020,Newtown Creek,NC,3132.0,1722378.91,,1156473,All Grades
2020-10-27,10/28/2020,North River,NR,1723.0,861726.72,,658596,All Grades
2020-10-27,10/28/2020,Oakwood Beach,OB,3148.0,1114677.03,,258731,All Grades
2020-10-27,10/28/2020,Owls Head,OH,7189.0,2431804.9,,906442,All Grades
2020-10-27,10/28/2020,Port Richmond,PR,4568.0,1727999.91,,226167,All Grades
2020-10-27,10/28/2020,Red Hook,RH,5298.0,1969295.97,,224029,All Grades
2020-10-27,10/28/2020,Rockaway,RK,884.0,499426.76,,120539,All Grades
2020-10-27,10/28/2020,Tallman Island,TI,1621.0,682067.04,This sample was analyzed in duplicate. The higher of the 2 results is reported,449907,All Grades
2020-10-27,10/28/2020,Wards Island,WI,3665.0,1916956.35,,1201485,All Grades
2020-11-01,11/02/2020,26th Ward,26W,1577.0,1499180.01,,290608,All Grades
2020-11-01,11/02/2020,Bowery Bay,BB,4299.0,2481274.94,,924695,All Grades
2020-11-01,11/02/2020,Coney Island,CI,2390.0,1206484.01,,682342,All Grades
2020-11-01,11/03/2020,Hunts Point,HP,2302.0,1833005.95,,755948,All Grades
2020-11-01,11/02/2020,Jamaica Bay,JA,2492.0,1247474.22,,748737,All Grades
2020-11-01,11/02/2020,Newtown Creek,NC,2597.0,1938146.4,,1156473,All Grades
2020-11-01,11/02/2020,North River,NR,1673.0,1000227.46,,658596,All Grades
2020-11-01,11/02/2020,Oakwood Beach,OB,2845.0,1344229.96,,258731,All Grades
2020-11-01,11/02/2020,Owls Head,OH,7666.0,3489667.15,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442,All Grades
2020-11-01,11/02/2020,Port Richmond,PR,2801.0,1687927.97,,226167,All Grades
2020-11-01,11/02/2020,Red Hook,RH,775.0,471227.9,,224029,All Grades
2020-11-01,11/03/2020,Rockaway,RK,452.0,340971.98,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,All Grades
2020-11-01,11/02/2020,Tallman Island,TI,1086.0,758212.93,,449907,All Grades
2020-11-01,11/02/2020,Wards Island,WI,4160.0,2857421.94,,1201485,All Grades
2020-11-03,11/04/2020,26th Ward,26W,3616.0,2308059.45,Sample processing method slightly different due to supply chain issues,290608,All Grades
2020-11-03,11/04/2020,Bowery Bay,BB,5348.0,1904648.95,Sample processing method slightly different due to supply chain issues,924695,All Grades
2020-11-03,11/04/2020,Coney Island,CI,1145.0,489122.1,Sample processing method slightly different due to supply chain issues,682342,All Grades
2020-11-03,11/04/2020,Hunts Point,HP,1974.0,1245744.71,Sample processing method slightly different due to supply chain issues,755948,All Grades
2020-11-03,11/04/2020,Jamaica Bay,JA,5794.0,2255629.23,Sample processing method slightly different due to supply chain issues,748737,All Grades
2020-11-03,11/04/2020,Newtown Creek,NC,1219.0,666313.87,Sample processing method slightly different due to supply chain issues,1156473,All Grades
2020-11-03,11/04/2020,North River,NR,4016.0,2008176.38,Sample processing method slightly different due to supply chain issues,658596,All Grades
2020-11-03,11/04/2020,Oakwood Beach,OB,2845.0,1132059.4,Sample processing method slightly different due to supply chain issues,258731,All Grades
2020-11-03,11/04/2020,Owls Head,OH,5323.0,1889644.66,This sample was analyzed in duplicate. The higher of the 2 results is reported - Sample processing method slightly different due to supply chain issues,906442,All Grades
2020-11-03,11/04/2020,Port Richmond,PR,8488.0,3693792.65,Sample processing method slightly different due to supply chain issues,226167,All Grades
2020-11-03,11/04/2020,Red Hook,RH,4098.0,1592650.63,Sample processing method slightly different due to supply chain issues,224029,All Grades
2020-11-03,11/04/2020,Rockaway,RK,966.0,546132.56,Sample processing method slightly different due to supply chain issues,120539,All Grades
2020-11-03,11/04/2020,Tallman Island,TI,2739.0,1497854.97,Sample processing method slightly different due to supply chain issues,449907,All Grades
2020-11-03,11/04/2020,Wards Island,WI,3604.0,1953133.09,Sample processing method slightly different due to supply chain issues,1201485,All Grades
2020-11-08,11/09/2020,26th Ward,26W,4401.0,2694244.92,,290608,All Grades
2020-11-08,11/09/2020,Bowery Bay,BB,15236.0,5239193.87,,924695,All Grades
2020-11-08,11/09/2020,Coney Island,CI,10920.0,4725167.42,,682342,All Grades
2020-11-08,11/09/2020,Hunts Point,HP,6518.0,3982133.06,,755948,All Grades
2020-11-08,11/09/2020,Jamaica Bay,JA,11355.0,4477890.58,,748737,All Grades
2020-11-08,11/09/2020,Newtown Creek,NC,9341.0,4953011.63,This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473,All Grades
2020-11-08,11/09/2020,North River,NR,8430.0,3924692.29,,658596,All Grades
2020-11-08,11/09/2020,Oakwood Beach,OB,10368.0,3731524.81,,258731,All Grades
2020-11-08,11/09/2020,Owls Head,OH,12038.0,4323405.17,,906442,All Grades
2020-11-08,11/09/2020,Port Richmond,PR,12649.0,5080919.44,,226167,All Grades
2020-11-08,11/09/2020,Red Hook,RH,2186.0,849492.34,,224029,All Grades
2020-11-08,11/09/2020,Rockaway,RK,2072.0,1301361.91,,120539,All Grades
2020-11-08,11/09/2020,Tallman Island,TI,4169.0,1683504.33,,449907,All Grades
2020-11-08,11/09/2020,Wards Island,WI,8221.0,4325374.18,,1201485,All Grades
2020-11-10,11/11/2020,26th Ward,26W,5813.0,3331669.65,,290608,All Grades
2020-11-10,11/11/2020,Bowery Bay,BB,11977.0,4118499.14,,924695,All Grades
2020-11-10,11/11/2020,Coney Island,CI,4755.0,1978308.46,,682342,All Grades
2020-11-10,11/17/2020,Hunts Point,HP,646.0,371849.05,,755948,All Grades
2020-11-10,11/11/2020,Jamaica Bay,JA,11366.0,4252382.24,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,All Grades
2020-11-10,11/11/2020,Newtown Creek,NC,6375.0,3505876.85,,1156473,All Grades
2020-11-10,11/11/2020,North River,NR,7882.0,4077289.02,,658596,All Grades
2020-11-10,11/11/2020,Oakwood Beach,OB,7030.0,2561046.63,,258731,All Grades
2020-11-10,11/11/2020,Owls Head,OH,11226.0,4078593.85,,906442,All Grades
2020-11-10,11/11/2020,Port Richmond,PR,16314.0,6553272.03,,226167,All Grades
2020-11-10,11/11/2020,Red Hook,RH,9343.0,3631125.45,,224029,All Grades
2020-11-10,11/11/2020,Rockaway,RK,586.0,349454.95,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,All Grades
2020-11-10,11/11/2020,Tallman Island,TI,8766.0,3687662.28,,449907,All Grades
2020-11-10,11/11/2020,Wards Island,WI,8257.0,4396610.58,,1201485,All Grades
2020-11-15,11/16/2020,26th Ward,26W,2464.0,2311272.16,This sample was analyzed in duplicate. The higher of the 2 results is reported - Sample processing method slightly different due to supply chain issues,290608,All Grades
2020-11-15,11/16/2020,Bowery Bay,BB,1601.0,897707.45,Sample processing method slightly different due to supply chain issues,924695,All Grades
2020-11-15,11/16/2020,Coney Island,CI,1733.0,913366.27,Sample processing method slightly different due to supply chain issues,682342,All Grades
2020-11-15,11/16/2020,Hunts Point,HP,4704.0,3509625.3,Sample processing method slightly different due to supply chain issues,755948,All Grades
2020-11-15,11/16/2020,Jamaica Bay,JA,18889.0,8785739.79,Sample processing method slightly different due to supply chain issues,748737,All Grades
2020-11-15,11/16/2020,Newtown Creek,NC,2296.0,1713703.06,Sample processing method slightly different due to supply chain issues,1156473,All Grades
2020-11-15,11/16/2020,North River,NR,815.0,440403.49,Sample processing method slightly different due to supply chain issues,658596,All Grades
2020-11-15,11/16/2020,Oakwood Beach,OB,2693.0,1162443.48,Sample processing method slightly different due to supply chain issues,258731,All Grades
2020-11-15,11/16/2020,Owls Head,OH,3418.0,1470258.46,Sample processing method slightly different due to supply chain issues,906442,All Grades
2020-11-15,11/16/2020,Port Richmond,PR,1681.0,1041223.74,Sample processing method slightly different due to supply chain issues,226167,All Grades
2020-11-15,11/16/2020,Red Hook,RH,985.0,632632.82,Sample processing method slightly different due to supply chain issues,224029,All Grades
2020-11-15,11/16/2020,Rockaway,RK,907.0,711730.41,Sample processing method slightly different due to supply chain issues,120539,All Grades
2020-11-15,11/16/2020,Tallman Island,TI,1741.0,1010941.86,Sample processing method slightly different due to supply chain issues,449907,All Grades
2020-11-15,11/16/2020,Wards Island,WI,2572.0,1547891.62,Sample processing method slightly different due to supply chain issues,1201485,All Grades
2020-11-17,11/18/2020,26th Ward,26W,4710.0,3128639.9,,290608,All Grades
2020-11-17,11/18/2020,Bowery Bay,BB,8786.0,3057378.1,,924695,All Grades
2020-11-17,11/18/2020,Coney Island,CI,3600.0,1857561.53,,682342,All Grades
2020-11-17,11/18/2020,Hunts Point,HP,4164.0,2481103.24,,755948,All Grades
2020-11-17,11/18/2020,Jamaica Bay,JA,3843.0,1457278.2,,748737,All Grades
2020-11-17,11/18/2020,Newtown Creek,NC,5830.0,3263372.24,,1156473,All Grades
2020-11-17,11/18/2020,North River,NR,4110.0,2031419.81,,658596,All Grades
2020-11-17,11/18/2020,Oakwood Beach,OB,3499.0,1545988.34,,258731,All Grades
2020-11-17,11/18/2020,Owls Head,OH,8488.0,2871358.83,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442,All Grades
2020-11-17,11/18/2020,Port Richmond,PR,6784.0,2838442.62,,226167,All Grades
2020-11-17,11/18/2020,Red Hook,RH,4014.0,1559909.42,,224029,All Grades
2020-11-17,11/18/2020,Rockaway,RK,2098.0,1317984.41,,120539,All Grades
2020-11-17,11/18/2020,Tallman Island,TI,2573.0,1147540.51,,449907,All Grades
2020-11-17,11/18/2020,Wards Island,WI,5365.0,2822723.62,,1201485,All Grades
2020-11-22,11/23/2020,26th Ward,26W,9990.0,6245977.97,,290608,Shutdown
2020-11-22,11/23/2020,Bowery Bay,BB,12422.0,4830927.11,This sample was analyzed in duplicate. The higher of the 2 results is reported,924695,Shutdown
2020-11-22,11/23/2020,Coney Island,CI,5169.0,2179556.89,,682342,Shutdown
2020-11-22,11/23/2020,Hunts Point,HP,8993.0,5718984.53,,755948,Shutdown
2020-11-22,11/23/2020,Jamaica Bay,JA,11173.0,4293251.24,,748737,Shutdown
2020-11-22,11/23/2020,Newtown Creek,NC,5481.0,3265216.88,,1156473,Shutdown
2020-11-22,11/23/2020,North River,NR,10432.0,5156487.27,,658596,Shutdown
2020-11-22,11/23/2020,Oakwood Beach,OB,2744.0,1055780.95,,258731,Shutdown
2020-11-22,11/23/2020,Owls Head,OH,5310.0,2040309.01,,906442,Shutdown
2020-11-22,11/23/2020,Port Richmond,PR,12186.0,5302780.35,,226167,Shutdown
2020-11-22,11/23/2020,Red Hook,RH,7890.0,2932943.14,,224029,Shutdown
2020-11-22,11/23/2020,Rockaway,RK,957.0,601330.65,,120539,Shutdown
2020-11-22,11/23/2020,Tallman Island,TI,7163.0,3013553.59,,449907,Shutdown
2020-11-22,11/23/2020,Wards Island,WI,9925.0,5347101.68,,1201485,Shutdown
2020-11-24,11/25/2020,26th Ward,26W,10802.0,6753951.28,,290608,Shutdown
2020-11-24,11/25/2020,Bowery Bay,BB,13482.0,4525559.99,,924695,Shutdown
2020-11-24,11/25/2020,Coney Island,CI,5950.0,2838755.15,,682342,Shutdown
2020-11-24,11/25/2020,Hunts Point,HP,10658.0,6404123.29,,755948,Shutdown
2020-11-24,11/25/2020,Jamaica Bay,JA,16487.0,6168143.55,,748737,Shutdown
2020-11-24,11/25/2020,Newtown Creek,NC,6555.0,3626112.23,,1156473,Shutdown
2020-11-24,11/25/2020,North River,NR,6230.0,3079499.51,This sample was analyzed in duplicate. The higher of the 2 results is reported,658596,Shutdown
2020-11-24,11/25/2020,Oakwood Beach,OB,14734.0,5669303.42,,258731,Shutdown
2020-11-24,11/25/2020,Owls Head,OH,14167.0,4910679.58,,906442,Shutdown
2020-11-24,11/25/2020,Port Richmond,PR,16923.0,6514694.93,,226167,Shutdown
2020-11-24,11/25/2020,Red Hook,RH,6464.0,2402873.53,,224029,Shutdown
2020-11-24,11/25/2020,Rockaway,RK,2785.0,1749336.96,,120539,Shutdown
2020-11-24,11/25/2020,Tallman Island,TI,2903.0,1538708.02,,449907,Shutdown
2020-11-24,11/25/2020,Wards Island,WI,8601.0,4579501.72,,1201485,Shutdown
2020-11-29,11/30/2020,26th Ward,26W,9478.0,5925813.84,,290608,Grade Schools Reopen
2020-11-29,11/30/2020,Bowery Bay,BB,20669.0,7107479.31,,924695,Grade Schools Reopen
2020-11-29,11/30/2020,Coney Island,CI,37486.0,15804952.84,,682342,Grade Schools Reopen
2020-11-29,11/30/2020,Hunts Point,HP,15763.0,9551169.9,,755948,Grade Schools Reopen
2020-11-29,11/30/2020,Jamaica Bay,JA,5448.0,2093399.94,,748737,Grade Schools Reopen
2020-11-29,11/30/2020,Newtown Creek,NC,15280.0,8252422.82,,1156473,Grade Schools Reopen
2020-11-29,11/30/2020,North River,NR,7478.0,3567295.66,,658596,Grade Schools Reopen
2020-11-29,11/30/2020,Oakwood Beach,OB,14972.0,5870460.83,,258731,Grade Schools Reopen
2020-11-29,11/30/2020,Owls Head,OH,4830.0,1654008.73,,906442,Grade Schools Reopen
2020-11-29,11/30/2020,Port Richmond,PR,14272.0,5972030.51,,226167,Grade Schools Reopen
2020-11-29,11/30/2020,Red Hook,RH,6138.0,2177870.1,This sample was analyzed in duplicate. The higher of the 2 results is reported,224029,Grade Schools Reopen
2020-11-29,11/30/2020,Rockaway,RK,3372.0,2012135.32,,120539,Grade Schools Reopen
2020-11-29,11/30/2020,Tallman Island,TI,14808.0,6229629.52,,449907,Grade Schools Reopen
2020-11-29,11/30/2020,Wards Island,WI,9124.0,4742892.01,,1201485,Grade Schools Reopen
2020-12-01,12/02/2020,26th Ward,26W,6117.0,4382630.0,,290608,Grade Schools Reopen
2020-12-01,12/02/2020,Bowery Bay,BB,20411.0,7520193.55,This sample was analyzed in duplicate. The higher of the 2 results is reported,924695,Grade Schools Reopen
2020-12-01,12/02/2020,Coney Island,CI,9945.0,5186350.97,,682342,Grade Schools Reopen
2020-12-01,12/02/2020,Hunts Point,HP,7420.0,4941911.78,,755948,Grade Schools Reopen
2020-12-01,12/02/2020,Jamaica Bay,JA,18238.0,7284132.8,,748737,Grade Schools Reopen
2020-12-01,12/02/2020,Newtown Creek,NC,4656.0,2712573.2,,1156473,Grade Schools Reopen
2020-12-01,12/02/2020,North River,NR,5201.0,2630840.39,,658596,Grade Schools Reopen
2020-12-01,12/02/2020,Oakwood Beach,OB,5246.0,2302621.86,,258731,Grade Schools Reopen
2020-12-01,12/02/2020,Owls Head,OH,19180.0,6728396.16,,906442,Grade Schools Reopen
2020-12-01,12/02/2020,Port Richmond,PR,29725.0,14925291.9,,226167,Grade Schools Reopen
2020-12-01,12/02/2020,Red Hook,RH,4262.0,1584442.51,,224029,Grade Schools Reopen
2020-12-01,12/02/2020,Rockaway,RK,1970.0,1361056.44,,120539,Grade Schools Reopen
2020-12-01,12/02/2020,Tallman Island,TI,6422.0,3674470.47,,449907,Grade Schools Reopen
2020-12-01,12/02/2020,Wards Island,WI,11728.0,6835708.74,,1201485,Grade Schools Reopen
2020-12-06,12/07/2020,26th Ward,26W,11291.0,7794790.29,,290608,Grade Schools Reopen
2020-12-06,12/07/2020,Bowery Bay,BB,,,Analytical issue,924695,Grade Schools Reopen
2020-12-06,12/07/2020,Coney Island,CI,11944.0,6560056.93,,682342,Grade Schools Reopen
2020-12-06,12/07/2020,Hunts Point,HP,11143.0,7476839.36,,755948,Grade Schools Reopen
2020-12-06,12/07/2020,Jamaica Bay,JA,26163.0,10846267.69,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,Grade Schools Reopen
2020-12-06,12/07/2020,Newtown Creek,NC,10455.0,5817435.35,,1156473,Grade Schools Reopen
2020-12-06,12/07/2020,North River,NR,6659.0,3291548.62,,658596,Grade Schools Reopen
2020-12-06,12/07/2020,Oakwood Beach,OB,14322.0,6558585.55,,258731,Grade Schools Reopen
2020-12-06,12/07/2020,Owls Head,OH,22153.0,7863799.98,,906442,Grade Schools Reopen
2020-12-06,12/07/2020,Port Richmond,PR,23405.0,11360348.96,,226167,Grade Schools Reopen
2020-12-06,12/07/2020,Red Hook,RH,10940.0,4251601.88,,224029,Grade Schools Reopen
2020-12-06,12/07/2020,Rockaway,RK,8315.0,5222767.28,,120539,Grade Schools Reopen
2020-12-06,12/07/2020,Tallman Island,TI,11747.0,6523277.57,,449907,Grade Schools Reopen
2020-12-06,12/07/2020,Wards Island,WI,14669.0,8133995.86,,1201485,Grade Schools Reopen
2020-12-08,12/09/2020,26th Ward,26W,13678.0,8730160.03,,290608,Grade Schools Reopen
2020-12-08,12/09/2020,Bowery Bay,BB,19174.0,7142781.06,,924695,Grade Schools Reopen
2020-12-08,12/09/2020,Coney Island,CI,52960.0,23504457.7,,682342,Grade Schools Reopen
2020-12-08,12/09/2020,Hunts Point,HP,27233.0,17728055.13,,755948,Grade Schools Reopen
2020-12-08,12/09/2020,Jamaica Bay,JA,29516.0,11788671.51,,748737,Grade Schools Reopen
2020-12-08,12/09/2020,Newtown Creek,NC,13317.0,7759204.77,This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473,Grade Schools Reopen
2020-12-08,12/09/2020,North River,NR,7921.0,4006501.77,,658596,Grade Schools Reopen
2020-12-08,12/09/2020,Oakwood Beach,OB,20288.0,8459485.02,,258731,Grade Schools Reopen
2020-12-08,12/09/2020,Owls Head,OH,21469.0,7531265.64,,906442,Grade Schools Reopen
2020-12-08,12/09/2020,Port Richmond,PR,36242.0,15771409.88,,226167,Grade Schools Reopen
2020-12-08,12/09/2020,Red Hook,RH,6521.0,2534416.06,,224029,Grade Schools Reopen
2020-12-08,12/09/2020,Rockaway,RK,12152.0,7632282.32,,120539,Grade Schools Reopen
2020-12-08,12/09/2020,Tallman Island,TI,15365.0,7627405.37,,449907,Grade Schools Reopen
2020-12-08,12/09/2020,Wards Island,WI,16350.0,8705823.92,,1201485,Grade Schools Reopen
2020-12-13,12/14/2020,26th Ward,26W,12203.0,7947510.1,,290608,Grade Schools Reopen
2020-12-13,12/14/2020,Bowery Bay,BB,15253.0,5869345.61,,924695,Grade Schools Reopen
2020-12-13,12/14/2020,Coney Island,CI,29495.0,12926497.69,This sample was analyzed in duplicate. The higher of the 2 results is reported,682342,Grade Schools Reopen
2020-12-13,12/14/2020,Hunts Point,HP,13738.0,8392535.31,,755948,Grade Schools Reopen
2020-12-13,12/14/2020,Jamaica Bay,JA,22866.0,8785815.13,,748737,Grade Schools Reopen
2020-12-13,12/14/2020,Newtown Creek,NC,9897.0,5474563.19,,1156473,Grade Schools Reopen
2020-12-13,12/14/2020,North River,NR,9138.0,4569644.09,,658596,Grade Schools Reopen
2020-12-13,12/14/2020,Oakwood Beach,OB,44382.0,17402241.94,,258731,Grade Schools Reopen
2020-12-13,12/14/2020,Owls Head,OH,32278.0,11592459.15,,906442,Grade Schools Reopen
2020-12-13,12/14/2020,Port Richmond,PR,22695.0,9876289.17,,226167,Grade Schools Reopen
2020-12-13,12/14/2020,Red Hook,RH,8735.0,3542258.75,,224029,Grade Schools Reopen
2020-12-13,12/14/2020,Rockaway,RK,9700.0,6396959.17,,120539,Grade Schools Reopen
2020-12-13,12/14/2020,Tallman Island,TI,24466.0,10292506.65,,449907,Grade Schools Reopen
2020-12-13,12/14/2020,Wards Island,WI,20478.0,10903678.65,,1201485,Grade Schools Reopen
2020-12-15,12/16/2020,26th Ward,26W,12790.0,8163147.77,,290608,Grade Schools Reopen
2020-12-15,12/16/2020,Bowery Bay,BB,21547.0,7409315.02,,924695,Grade Schools Reopen
2020-12-15,12/16/2020,Coney Island,CI,24437.0,11116504.12,,682342,Grade Schools Reopen
2020-12-15,12/16/2020,Hunts Point,HP,15707.0,9595528.47,,755948,Grade Schools Reopen
2020-12-15,12/16/2020,Jamaica Bay,JA,26079.0,10416182.3,,748737,Grade Schools Reopen
2020-12-15,12/16/2020,Newtown Creek,NC,26705.0,15646509.93,,1156473,Grade Schools Reopen
2020-12-15,12/16/2020,North River,NR,4610.0,2463987.2,,658596,Grade Schools Reopen
2020-12-15,12/16/2020,Oakwood Beach,OB,25791.0,9395679.34,,258731,Grade Schools Reopen
2020-12-15,12/16/2020,Owls Head,OH,29004.0,10295598.11,,906442,Grade Schools Reopen
2020-12-15,12/16/2020,Port Richmond,PR,16514.0,6909884.84,,226167,Grade Schools Reopen
2020-12-15,12/16/2020,Red Hook,RH,4719.0,1834005.32,,224029,Grade Schools Reopen
2020-12-15,12/16/2020,Rockaway,RK,13152.0,8673268.9,This sample was analyzed in duplicate. The higher of the 2 results is reported,120539,Grade Schools Reopen
2020-12-15,12/16/2020,Tallman Island,TI,19474.0,8520315.4,,449907,Grade Schools Reopen
2020-12-15,12/16/2020,Wards Island,WI,11186.0,5744707.06,,1201485,Grade Schools Reopen
2020-12-20,12/21/2020,26th Ward,26W,11369.0,8145024.02,,290608,Grade Schools Reopen
2020-12-20,12/21/2020,Bowery Bay,BB,17290.0,7573227.05,,924695,Grade Schools Reopen
2020-12-20,12/21/2020,Coney Island,CI,10617.0,5242274.14,,682342,Grade Schools Reopen
2020-12-20,12/21/2020,Hunts Point,HP,10938.0,7558553.36,,755948,Grade Schools Reopen
2020-12-20,12/21/2020,Jamaica Bay,JA,36771.0,15616052.76,,748737,Grade Schools Reopen
2020-12-20,12/21/2020,Newtown Creek,NC,7382.0,4784336.99,,1156473,Grade Schools Reopen
2020-12-20,12/21/2020,North River,NR,13711.0,8432311.72,,658596,Grade Schools Reopen
2020-12-20,12/21/2020,Oakwood Beach,OB,24680.0,9460466.28,,258731,Grade Schools Reopen
2020-12-20,12/21/2020,Owls Head,OH,32014.0,14037911.76,,906442,Grade Schools Reopen
2020-12-20,12/21/2020,Port Richmond,PR,24881.0,11660075.95,,226167,Grade Schools Reopen
2020-12-20,12/21/2020,Red Hook,RH,5063.0,3336482.26,,224029,Grade Schools Reopen
2020-12-20,12/21/2020,Rockaway,RK,5222.0,3607987.73,,120539,Grade Schools Reopen
2020-12-20,12/21/2020,Tallman Island,TI,18617.0,8771818.01,,449907,Grade Schools Reopen
2020-12-20,12/21/2020,Wards Island,WI,15030.0,8334496.71,This sample was analyzed in duplicate. The higher of the 2 results is reported,1201485,Grade Schools Reopen
2020-12-22,12/23/2020,26th Ward,26W,5177.0,5394626.31,,290608,Grade Schools Reopen
2020-12-22,12/23/2020,Bowery Bay,BB,20981.0,10306923.05,,924695,Grade Schools Reopen
2020-12-22,12/23/2020,Coney Island,CI,17494.0,7958104.35,,682342,Grade Schools Reopen
2020-12-22,12/23/2020,Hunts Point,HP,16303.0,12082663.6,,755948,Grade Schools Reopen
2020-12-22,12/23/2020,Jamaica Bay,JA,36011.0,15657505.1,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,Grade Schools Reopen
2020-12-22,12/23/2020,Newtown Creek,NC,11949.0,7939930.85,,1156473,Grade Schools Reopen
2020-12-22,12/23/2020,North River,NR,8319.0,4829586.22,,658596,Grade Schools Reopen
2020-12-22,12/23/2020,Oakwood Beach,OB,15309.0,6249082.82,,258731,Grade Schools Reopen
2020-12-22,12/23/2020,Owls Head,OH,19284.0,7570175.42,,906442,Grade Schools Reopen
2020-12-22,12/23/2020,Port Richmond,PR,9843.0,4942400.06,,226167,Grade Schools Reopen
2020-12-22,12/23/2020,Red Hook,RH,7526.0,3560747.43,,224029,Grade Schools Reopen
2020-12-22,12/23/2020,Rockaway,RK,10247.0,6435695.4,,120539,Grade Schools Reopen
2020-12-22,12/23/2020,Tallman Island,TI,18341.0,10648041.06,,449907,Grade Schools Reopen
2020-12-22,12/23/2020,Wards Island,WI,13131.0,8274177.18,,1201485,Grade Schools Reopen
2020-12-27,12/28/2020,26th Ward,26W,12240.0,8290610.02,,290608,Grade Schools Reopen
2020-12-27,12/28/2020,Bowery Bay,BB,15286.0,5569431.26,,924695,Grade Schools Reopen
2020-12-27,12/28/2020,Coney Island,CI,14988.0,6485662.79,,682342,Grade Schools Reopen
2020-12-27,12/28/2020,Hunts Point,HP,9451.0,6246885.68,,755948,Grade Schools Reopen
2020-12-27,12/28/2020,Jamaica Bay,JA,13776.0,5711047.53,,748737,Grade Schools Reopen
2020-12-27,12/28/2020,Newtown Creek,NC,7299.0,4276712.05,,1156473,Grade Schools Reopen
2020-12-27,12/28/2020,North River,NR,10351.0,4997452.36,,658596,Grade Schools Reopen
2020-12-27,12/28/2020,Oakwood Beach,OB,18711.0,8048284.78,,258731,Grade Schools Reopen
2020-12-27,12/28/2020,Owls Head,OH,41740.0,14641976.31,,906442,Grade Schools Reopen
2020-12-27,12/28/2020,Port Richmond,PR,14984.0,7022206.62,,226167,Grade Schools Reopen
2020-12-27,12/28/2020,Red Hook,RH,10116.0,6495016.37,This sample was analyzed in duplicate. The higher of the 2 results is reported,224029,Grade Schools Reopen
2020-12-27,12/28/2020,Rockaway,RK,8921.0,5883450.24,,120539,Grade Schools Reopen
2020-12-27,12/28/2020,Tallman Island,TI,12390.0,6775774.55,,449907,Grade Schools Reopen
2020-12-27,12/28/2020,Wards Island,WI,18469.0,9775511.67,,1201485,Grade Schools Reopen
2020-12-29,12/30/2020,26th Ward,26W,2946.0,1918480.07,,290608,Grade Schools Reopen
2020-12-29,12/30/2020,Bowery Bay,BB,4749.0,1710755.62,,924695,Grade Schools Reopen
2020-12-29,12/30/2020,Coney Island,CI,14243.0,8059313.49,,682342,Grade Schools Reopen
2020-12-29,12/30/2020,Hunts Point,HP,4304.0,2715667.21,,755948,Grade Schools Reopen
2020-12-29,12/30/2020,Jamaica Bay,JA,30175.0,11594155.56,,748737,Grade Schools Reopen
2020-12-29,12/30/2020,Newtown Creek,NC,3338.0,1846334.74,,1156473,Grade Schools Reopen
2020-12-29,12/30/2020,North River,NR,2921.0,1477389.22,,658596,Grade Schools Reopen
2020-12-29,12/30/2020,Oakwood Beach,OB,3573.0,1500261.22,This sample was analyzed in duplicate. The higher of the 2 results is reported,258731,Grade Schools Reopen
2020-12-29,12/30/2020,Owls Head,OH,8179.0,2903190.83,,906442,Grade Schools Reopen
2020-12-29,12/30/2020,Port Richmond,PR,979.0,426021.06,,226167,Grade Schools Reopen
2020-12-29,12/30/2020,Red Hook,RH,13439.0,5677031.32,,224029,Grade Schools Reopen
2020-12-29,12/30/2020,Rockaway,RK,12630.0,7535910.64,,120539,Grade Schools Reopen
2020-12-29,12/30/2020,Tallman Island,TI,20394.0,8922864.89,,449907,Grade Schools Reopen
2020-12-29,12/30/2020,Wards Island,WI,21301.0,9596875.82,,1201485,Grade Schools Reopen
2021-01-03,01/04/2021,26th Ward,26W,16507.0,13546455.46,,290608,Grade Schools Reopen
2021-01-03,01/04/2021,Bowery Bay,BB,16391.0,8856979.27,,924695,Grade Schools Reopen
2021-01-03,01/04/2021,Coney Island,CI,18720.0,9346942.43,,682342,Grade Schools Reopen
2021-01-03,01/04/2021,Hunts Point,HP,15469.0,12006794.69,,755948,Grade Schools Reopen
