5-9,10-14, 15-19,WRRF Name,Total Population,Total WRRF Population,Individual Zip Code
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10282
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11205
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11206
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11211
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11213
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11216
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11221
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11222
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11225
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11233
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11237
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11238
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11379
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,11385
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10002
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10003
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10004
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10005
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10006
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10007
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10009
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10010
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10012
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10013
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10016
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10017
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10022
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10038
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10280
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,10282
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11205
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11206
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11211
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11213
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11216
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11221
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11222
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11225
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11233
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11237
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11238
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11379
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,11385
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10002
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10003
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10004
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10005
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10006
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10007
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10009
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10010
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10012
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10013
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10016
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10017
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10022
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10038
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10280
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,10282
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11205
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11206
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11211
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11213
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11216
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11221
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11222
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11225
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11233
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11237
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11238
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11379
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,11385
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10002
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10003
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10004
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10005
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10006
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10007
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10009
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10010
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10012
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10013
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10016
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10017
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10022
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10038
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10280
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,10282
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11205
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11206
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11211
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11213
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11216
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11221
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11222
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11225
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11233
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11237
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11238
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11379
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,11385
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10002
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10003
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10004
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10005
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10006
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10007
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10009
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10010
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10012
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10013
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10016
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10017
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10022
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10038
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10280
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,10282
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11205
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11206
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11211
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11213
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11216
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11221
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11222
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11225
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11233
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11237
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11238
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11379
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,11385
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10001
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10011
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10014
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10018
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10019
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10023
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10024
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10025
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10026
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10027
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10031
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10034
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10036
1153.0,1218.0,2243.0,North River,4614.0,72242.0,10069
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10002
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10003
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10004
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10005
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10006
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10007
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10009
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10010
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10012
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10013
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10016
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10017
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10022
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10038
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10280
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,10282
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11205
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11206
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11211
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11213
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11216
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11221
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11222
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11225
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11233
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11237
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11238
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11379
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,11385
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10002
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10003
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10004
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10005
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10006
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10007
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10009
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10010
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10012
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10013
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10016
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10017
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10022
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10038
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10280
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,10282
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11205
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11206
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11211
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11213
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11216
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11221
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11222
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11225
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11233
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11237
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11238
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11379
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,11385
456.0,649.0,534.0,North River,1639.0,72242.0,10001
456.0,649.0,534.0,North River,1639.0,72242.0,10011
456.0,649.0,534.0,North River,1639.0,72242.0,10014
456.0,649.0,534.0,North River,1639.0,72242.0,10018
456.0,649.0,534.0,North River,1639.0,72242.0,10019
456.0,649.0,534.0,North River,1639.0,72242.0,10023
456.0,649.0,534.0,North River,1639.0,72242.0,10024
456.0,649.0,534.0,North River,1639.0,72242.0,10025
456.0,649.0,534.0,North River,1639.0,72242.0,10026
456.0,649.0,534.0,North River,1639.0,72242.0,10027
456.0,649.0,534.0,North River,1639.0,72242.0,10031
456.0,649.0,534.0,North River,1639.0,72242.0,10034
456.0,649.0,534.0,North River,1639.0,72242.0,10036
456.0,649.0,534.0,North River,1639.0,72242.0,10069
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10002
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10003
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10004
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10005
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10006
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10007
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10009
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10010
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10012
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10013
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10016
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10017
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10022
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10038
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10280
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,10282
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11205
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11206
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11211
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11213
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11216
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11221
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11222
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11225
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11233
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11237
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11238
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11379
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,11385
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10002
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10003
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10004
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10005
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10006
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10007
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10009
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10010
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10012
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10013
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10016
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10017
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10022
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10038
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10280
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,10282
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11205
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11206
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11211
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11213
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11216
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11221
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11222
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11225
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11233
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11237
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11238
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11379
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,11385
141.0,120.0,256.0,North River,517.0,72242.0,10001
141.0,120.0,256.0,North River,517.0,72242.0,10011
141.0,120.0,256.0,North River,517.0,72242.0,10014
141.0,120.0,256.0,North River,517.0,72242.0,10018
141.0,120.0,256.0,North River,517.0,72242.0,10019
141.0,120.0,256.0,North River,517.0,72242.0,10023
141.0,120.0,256.0,North River,517.0,72242.0,10024
141.0,120.0,256.0,North River,517.0,72242.0,10025
141.0,120.0,256.0,North River,517.0,72242.0,10026
141.0,120.0,256.0,North River,517.0,72242.0,10027
141.0,120.0,256.0,North River,517.0,72242.0,10031
141.0,120.0,256.0,North River,517.0,72242.0,10034
141.0,120.0,256.0,North River,517.0,72242.0,10036
141.0,120.0,256.0,North River,517.0,72242.0,10069
898.0,509.0,870.0,North River,2277.0,72242.0,10001
898.0,509.0,870.0,North River,2277.0,72242.0,10011
898.0,509.0,870.0,North River,2277.0,72242.0,10014
898.0,509.0,870.0,North River,2277.0,72242.0,10018
898.0,509.0,870.0,North River,2277.0,72242.0,10019
898.0,509.0,870.0,North River,2277.0,72242.0,10023
898.0,509.0,870.0,North River,2277.0,72242.0,10024
898.0,509.0,870.0,North River,2277.0,72242.0,10025
898.0,509.0,870.0,North River,2277.0,72242.0,10026
898.0,509.0,870.0,North River,2277.0,72242.0,10027
898.0,509.0,870.0,North River,2277.0,72242.0,10031
898.0,509.0,870.0,North River,2277.0,72242.0,10034
898.0,509.0,870.0,North River,2277.0,72242.0,10036
898.0,509.0,870.0,North River,2277.0,72242.0,10069
1517.0,2024.0,1928.0,Wards Island,5469.0,240219.0,10021
1517.0,2024.0,1928.0,Wards Island,5469.0,240219.0,10028
